name,platform,year_of_release,gendre,publisher,developer,rating
Resident Evil 2: Dual Shock Edition,PS,1998,Action,Capcom,,
Jikkyou Powerful Pro Yakyuu 5,N64,1998,Sports,Konami Digital Entertainment,,
NBA Jam 99,N64,1998,Sports,Acclaim Entertainment,,
Jikkyou Powerful Pro Yakyuu '98 Ketteiban,PS,1998,Sports,Konami Digital Entertainment,,
Jade Cocoon: Story of the Tamamayu,PS,1998,Role-Playing,Crave Entertainment,,
The House of the Dead 2,DC,1998,Shooter,Sega,,
Marvel Super Heroes vs. Street Fighter,PS,1998,Fighting,Virgin Interactive,,
Choro Q3,PS,1998,Racing,Takara,,
Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!,PS,1998,Sports,Axela,,
Kidou Senshi Gundam: Giren no Yabou,SAT,1998,Strategy,Namco Bandai Games,,
Evil Zone,PS,1998,Fighting,Titus,,
Fox Sports College Hoops '99,N64,1998,Sports,Fox Interactive,,
Gex 64: Enter the Gecko,N64,1998,Action,GT Interactive,,
Caesars Palace II,PS,1998,Misc,Interplay,,
Pro Yakyuu Team o Tsukurou!,SAT,1998,Sports,Sega,,
Sentimental Graffiti,SAT,1998,Adventure,NEC Interchannel,,
Shadow Man,PS,1998,Action,Acclaim Entertainment,,
Lucky Luke,PS,1998,Platform,Ocean,,
Forsaken,PS,1998,Shooter,Acclaim Entertainment,,
Wild 9,PS,1998,Action,Interplay,,
Sesame Street: Elmo's Number Journey,PS,1998,Misc,NewKidCo,,
Street Fighter EX2 Plus,PS,1998,Fighting,Virgin Interactive,,
Gundam Battle Assault,PS,1998,Fighting,Namco Bandai Games,Natsume,T
Colony Wars: Vengeance,PS,1998,Simulation,Psygnosis,,
Rampage 2: Universal Tour,PS,1998,Action,GT Interactive,,
Shin Nippon Pro Wrestling: Toukon Retsuden 3,PS,1998,Fighting,Tomy Corporation,,
Bust-A-Move 4,PS,1998,Puzzle,Acclaim Entertainment,,
NHL Championship 2000,PS,1998,Sports,Fox Interactive,,
Kartia: The Word of Fate,PS,1998,Strategy,Konami Digital Entertainment,,
WCW Nitro,N64,1998,Fighting,THQ,,
Yarudora Series Vol. 2: Kisetsu wo Dakishimete,PS,1998,Adventure,Sony Computer Entertainment,,
Speed Punks,PS,1998,Racing,Sony Computer Entertainment,,
Body Harvest,N64,1998,Shooter,Gremlin Interactive Ltd,,
Twisted Edge Extreme Snowboarding,N64,1998,Sports,Kemco,,
Re-Volt,PS,1998,Racing,Acclaim Entertainment,,
Darkstalkers 3,PS,1998,Fighting,Capcom,,
Quake,N64,1998,Shooter,GT Interactive,,
Vampire Savior: The Lord of Vampire,SAT,1998,Fighting,Capcom,,
Brunswick Circuit Pro Bowling,PS,1998,Sports,THQ,,
The King of Fighters '97,PS,1998,Fighting,SNK,,
The King of Fighters '97,SAT,1998,Fighting,SNK,,
Fighter Maker,PS,1998,Fighting,Agetec,,
Final Fantasy V,PS,1998,Role-Playing,SquareSoft,,
Clock Tower II: The Struggle Within,PS,1998,Adventure,Human Entertainment,Human Entertainment,M
Kawa no Nushi Tsuri,PS,1998,Sports,Victor Interactive,,
N2O: Nitrous Oxide,PS,1998,Racing,Gremlin Interactive Ltd,,
Buck Bumble,N64,1998,Action,Ubisoft,,
Fighters Destiny,N64,1998,Fighting,Ocean,,
Eve: The Lost One,SAT,1998,Adventure,Imagineer,,
Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,PS,1998,Misc,Syscom,,
Winning Post 3,PS,1998,Racing,Tecmo Koei,,
Streak: Hoverboard Racing,PS,1998,Racing,GT Interactive,,
T'ai Fu: Wrath of the Tiger,PS,1998,Action,Activision,,
Chessmaster II,PS,1998,Strategy,Mindscape,,
Cardinal Syn,PS,1998,Fighting,Sony Computer Entertainment,,
The Fifth Element,PS,1998,Action,Sony Computer Entertainment,,
Power Stone,DC,1998,Fighting,Eidos Interactive,,
Soukaigi,PS,1998,Role-Playing,SquareSoft,,
T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,PS,1998,Adventure,Sunsoft,,
Project V6,PS,1998,Strategy,General Entertainment,,
Bio FREAKS,N64,1998,Action,GT Interactive,,
RockMan & Forte,SNES,1998,Platform,Capcom,,
Houshinengi,PS,1998,Strategy,Tecmo Koei,,
Guilty Gear,PS,1998,Fighting,Virgin Interactive,,
Bio FREAKS,PS,1998,Action,GT Interactive,,
Castrol Honda Superbike Racing,PS,1998,Racing,THQ,,
The Unholy War,PS,1998,Strategy,Eidos Interactive,,
No Fear Downhill Mountain Biking,PS,1998,Sports,Codemasters,,
Assault: Retribution,PS,1998,Action,Telstar,,
SkullMonkeys,PS,1998,Platform,DreamWorks Interactive,,
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998,Sports,Sega,,
Strikers 1945,PS,1998,Shooter,Midas Interactive Entertainment,Psikyo,E
Echo Night,PS,1998,Adventure,From Software,,
Guardian's Crusade,PS,1998,Role-Playing,Activision,,
Bomberman Party Edition,PS,1998,Puzzle,Virgin Interactive,Metro,E
Akuji the Heartless,PS,1998,Platform,Eidos Interactive,,
Crime Killer,PS,1998,Racing,Interplay,,
Lunar 2: Eternal Blue,SAT,1998,Role-Playing,Kadokawa Shoten,,
Thousand Arms,PS,1998,Role-Playing,Atlus,,
Stolen Song,PS,1998,Adventure,Sony Computer Entertainment,,
Doukoku Shoshite...,SAT,1998,Adventure,Data East,,
Shinseiki Evangelion: Koutetsu no Girlfriend,PS,1998,Adventure,Gainax Network Systems,,
